N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,anomaly_score,Temperature-Humidity Index,Nutrient Balance Ratio,Water Availability Index,Photosynthesis Potential,Soil Fertility Index,Nutrient_Level,Soil_Moisture_Class,Frost_Risk_Level,Irrigation_Category,Urban_Proximity_Class_Near,Urban_Proximity_Class_Moderate,Urban_Proximity_Class_Remote
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,29.44606392482905,2,8.67735526697563,10.109875244575116,435.611225664072,3.121394502259622,4,11.743910096203432,57.60730813596583,188.19495775411988,1,2.7196142681382094,3,95.6499853668432,1.1932932982959272,0.05132007834856378,20.248245373872447,1.0465116279069768,81.49290560738034,0.28382636528815114,182.0813459651446,2,1,0,0,True,False,False
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,12.851182636936995,3,5.754287955222303,12.048049798316915,401.45185974634256,2.142020928535281,4,16.797101236780506,74.73687900741903,70.96362942364794,1,4.714427327225068,2,77.26569365523096,1.7526716815799783,0.051929197369907754,20.983492684309414,0.85,76.99248906585589,0.13655712021593297,131.3772836168306,2,0,0,0,True,False,False
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,29.363912891054824,2,9.875230096038331,9.05134891346406,357.4179627074981,1.4749737247687815,1,12.654394579097698,1.034478009144435,191.97607728111197,1,30.43173647520732,2,18.192167864978813,3.035541019903109,0.030266817330079854,22.17752122653937,0.6,99.74401330373838,0.2955105612969689,78.17360741274543,2,1,1,1,False,False,True
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,26.20773239299878,3,8.023684684293785,7.963606057288741,363.6943055002588,8.393907171864402,1,10.864360184826303,24.09188793478396,55.76138848397649,3,10.861071276483274,3,82.81872017326596,1.2733406458545562,0.0378590008989903,25.182519930709642,0.9736842105263158,91.20462293509914,0.2754994705708558,416.89738953593195,1,1,0,1,False,True,False
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,28.236236135835615,2,8.12051188272924,19.264133422858432,410.35645777701023,5.202285434682235,3,13.852910054226465,38.811481435085696,185.25970154082896,2,47.19077674711596,3,25.466498927055326,2.578671084995216,0.06189352076923538,19.560552021320863,0.9176470588235294,98.58056744508492,0.222906012558565,280.9234134728407,2,1,1,2,False,False,True
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,23.61311519614218,3,10.873767569219408,2.728812124554161,428.7284296936261,5.958483178119839,5,13.478474458070083,82.07341331570409,135.92906584189868,3,42.15873477813557,3,43.42633430045652,1.7536156668614868,0.059420081327776764,22.275292334819422,0.8625,91.84568057729953,0.43076916225944534,293.9518367872454,1,1,2,0,False,False,True
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,15.333693105308976,2,8.726839860577611,4.715023586814744,398.3170075705707,7.389915833434773,1,13.487610448270203,48.81462557502119,121.1736596015814,1,1.592171825417832,3,50.01897066431516,3.171514124476316,0.06846455040924071,21.92503166987587,0.7340425531914894,92.13104329371627,0.2838910174805936,399.05545500547777,2,1,2,1,True,False,False
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,20.835640482532128,3,10.719887142177978,6.627556793662457,379.8472815222341,1.2420726896565475,4,8.63078182173721,80.12783103951577,195.7361604567481,1,14.415279885864967,1,18.08996232939174,3.1795385786845385,0.04004768655898727,19.734158905910014,1.0,87.17720680777248,0.30257316851213,77.42253098859146,2,1,1,0,False,True,False
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,26.64065576840069,2,11.600185637716663,7.309391590701411,446.3333843786954,8.821774607066256,2,11.260104812933562,89.87019212181914,73.44697633488323,3,48.13877175140959,3,98.37740877207062,1.5309800787118886,0.018634651175775008,23.608879462524477,0.956989247311828,87.78232980788049,0.5307449809737762,532.2470679596642,2,1,0,2,False,False,True
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,24.368852917432807,3,6.413153902771772,15.395845984336622,377.3990151601595,4.24170639150573,1,11.88543252673378,26.5442576049046,72.79170148098056,1,45.647152908162894,2,63.33575198203821,4.586856058247635,0.058433926640450995,22.40987659290859,0.7010309278350515,83.42095578220297,0.16699583200091322,231.87994940231323,2,1,2,1,False,False,True
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,20.459145741082907,2,6.43288482293385,18.241282308646483,397.4717144170916,7.686282485746422,3,19.80376704152053,43.0149813897197,88.35389727182411,1,25.44276360101112,3,0.8030068386047917,1.4760491681677208,0.03951121447929862,25.29800914170331,0.9680851063829787,93.70586292875802,0.22674983238427682,471.4253257924472,2,1,1,2,False,True,False
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,15.404600446017936,2,8.554866438403772,3.5335211917178566,387.838957847824,3.312374645893745,2,6.024622352933802,65.42929939559889,162.39579093341422,1,36.39975138070278,2,79.21176901091427,4.956311495518364,0.050562155209564974,23.011921126811963,1.0112359550561798,85.80819039221255,0.2870957547377444,196.53422898969555,2,1,0,2,False,False,True
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,15.69649075752503,1,5.962473079366161,7.89643882264818,359.04279531520604,6.142806338720238,6,7.755604910749735,44.776936686283655,196.08297109004903,3,7.030797616012851,3,26.72412345028374,1.5690463286676493,0.015799444441746302,25.507707640499614,0.7572815533980582,96.31848054026752,0.1729892640867664,368.5683803232143,2,1,1,0,True,False,False
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,18.102299560975805,3,10.509164776834664,4.249812524263021,439.9141828695301,3.208669383951548,2,7.552875738109826,80.6212931315953,83.06454514117044,1,40.4247179730376,2,12.45162810967173,1.0297367847931582,0.031629272996807734,23.075969811301885,1.0,68.25481136268306,0.4489261177117141,197.86794534367877,2,1,1,2,False,False,True
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,19.742522826826036,2,7.613462956316367,3.9259507614610967,431.6839322952465,1.1538330760013102,4,13.520434354100503,91.7188882485618,78.3083947509769,2,10.157776806077878,2,30.71243535709793,4.410523115565436,0.08752595737117286,24.478376831994144,1.0681818181818181,76.69585721877822,0.3117503056056054,69.61459558541239,2,1,1,0,False,True,False
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,23.34511451117176,1,10.168697865057386,13.214305576708757,386.14283047459605,8.705518065479506,3,14.312229905712677,13.358098388005168,117.26676065919187,3,43.476465497635566,1,50.39889549176869,1.3745635802528169,0.06903828378549831,23.222218015041864,0.6818181818181818,85.66748056782023,0.3682840082319662,426.5703852084958,1,1,2,2,False,False,True
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,12.287843010348428,1,10.748001538790213,18.99798488965525,435.4804751841295,8.55056918740796,1,15.303243639522,31.42938168793934,182.0508467996191,3,14.486082459985944,2,38.68300438556499,1.1359236150294585,0.0269157852468751,20.91622313265316,1.0625,91.5980638772439,0.39757070011810347,467.43111557830184,2,0,2,1,False,True,False
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,20.505529046999705,2,8.914357978526676,5.605837157503199,362.0769125293712,5.083744266596145,5,6.886703068768259,14.483418321200748,74.4938501084522,3,35.14762403771211,3,77.8685812971585,1.085565894426281,0.0648230136944768,22.792964317391686,1.2133333333333334,76.23222598289979,0.2728956902747608,279.605934662788,2,1,0,0,False,False,True
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,19.86297771132577,3,9.604758001573376,15.037544987768992,449.099982387764,3.287939301403511,6,8.66938933565357,50.16163399739286,75.75147164765943,2,4.852330346328937,1,83.16991783223679,2.290178559584014,0.03494574602044509,21.06286452760797,1.0266666666666666,81.27058946792803,0.36298823178866185,165.49294483731006,2,1,0,0,True,False,False
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,25.75100657263861,1,5.156131899329995,11.966922691518535,387.84517226922674,8.826688210121965,6,13.41922724517027,21.42755696379507,87.37678676139276,2,24.83894964192667,2,49.834587199231606,1.3075942280167938,0.04352705360538167,22.759852049595672,1.1578947368421053,105.41530314084702,0.12041959846485682,479.5833927499601,2,1,2,0,False,True,False
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,17.850955791197684,1,11.30220543702904,2.5680289175683435,386.9120485709592,8.137254880064633,2,13.331189009949806,90.87507422306253,145.35805048578587,2,43.27565016907384,1,3.070325598982515,1.4701086515910866,0.042257724671934116,20.59210856692227,1.0853658536585367,68.14491101383838,0.35752526360751546,461.1111098703292,2,1,1,2,False,False,True
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,16.92544358289537,2,7.193711117792186,16.94274790637595,380.1545777290284,3.757578539131919,6,11.439381139697474,43.70821709513933,69.95604214677172,3,9.150663021420286,3,94.38189733419962,3.672312161909824,0.06049502480064162,24.16784921009971,0.9047619047619048,81.26310539802675,0.23174622703178824,199.15166257399173,2,1,0,0,True,False,False
